company,stock_code,exchange,year,revenue,cogs,net_profit,cfo,accounts_receivable,inventory,goodwill,current_assets,current_liabilities,short_borrow,cash,equity,nonrecurring,source_report,source_table_or_page,unit,notes
宁德时代,300750,SZSE,2021,130355796400.00,96093722300.00,15931317900.00,42908008700.00,23753548200.00,40199691900.00,527850700.00,177734938700.00,149344832600.00,12123056900.00,89071889700.00,92622174500.00,2488953500.00,CATL_300750_2021_annual_report.pdf,"合并资产负债表p108,109,110,111;合并利润表p113,114,115,116;合并现金流量表p118,119,120;非经常性损益表p9,10",元,"原表单位:BS=万元,IS=万元,CF=万元,NR=万元;net_profit=归属于母公司股东的净利润;equity=所有者权益合计(含少数股东);nonrecurring=非经常性损益合计(税后归母)"
宁德时代,300750,SZSE,2022,328593987500.00,262049609200.00,30729163500.00,61208843300.00,57966516900.00,76668898800.00,704065200.00,387734857000.00,295761419300.00,14415402500.00,191043409500.00,176909162000.00,2516065300.00,CATL_300750_2022_annual_report.pdf,"合并资产负债表p100,101,102,103;合并利润表p105,106,107;合并现金流量表p108,109;非经常性损益表p8,9",元,"原表单位:BS=万元,IS=万元,CF=万元,NR=万元;net_profit=归属于母公司股东的净利润;equity=所有者权益合计(含少数股东);nonrecurring=非经常性损益合计(税后归母)"
宁德时代,300750,SZSE,2023,400917044900.00,309070434000.00,44121248300.00,92826124400.00,64020533400.00,45433890100.00,707881700.00,449788001700.00,287001069100.00,15181012100.00,264306514700.00,219883150600.00,4029574700.00,CATL_300750_2023_annual_report.pdf,"合并资产负债表p115,116,117;合并利润表p119,120,121,122;合并现金流量表p123,124,125;非经常性损益表p8,9",元,"原表单位:BS=万元,IS=万元,CF=万元,NR=万元;net_profit=归属于母公司股东的净利润;equity=所有者权益合计(含少数股东);nonrecurring=非经常性损益合计(税后归母)"
宁德时代,300750,SZSE,2024,362012554000.00,273518959000.00,50744682000.00,96990345000.00,64135510000.00,59835533000.00,894757000.00,510142089000.00,317171534000.00,19696282000.00,303511993000.00,273456174000.00,5751762000.00,CATL_300750_2024_annual_report.pdf,"合并资产负债表p114,115,116;合并利润表p119,120,121;合并现金流量表p122,123,124;非经常性损益表p10,11",元,"原表单位:BS=千元,IS=千元,CF=千元,NR=千元;net_profit=归属于母公司股东的净利润;equity=所有者权益合计(含少数股东);nonrecurring=非经常性损益合计(税后归母)"
宁德时代,300750,SZSE,2025,423701834000.00,312383297000.00,72201282000.00,133219982000.00,76403264000.00,94526239000.00,837328000.00,638481543000.00,399625988000.00,12935498000.00,333512927000.00,371026324000.00,7693417000.00,CATL_300750_2025_annual_report.pdf,"合并资产负债表p111,112,113;合并利润表p116,117,118;合并现金流量表p119,120,121;非经常性损益表p12,13",元,"原表单位:BS=千元,IS=千元,CF=千元,NR=千元;net_profit=归属于母公司股东的净利润;equity=所有者权益合计(含少数股东);nonrecurring=非经常性损益合计(税后归母)"
比亚迪,002594,SZSE,2021,,,,,,,,,,,,,,BYD_002594_2021_annual_report.pdf,,元,待提取
比亚迪,002594,SZSE,2022,,,,,,,,,,,,,,BYD_002594_2022_annual_report.pdf,,元,待提取
比亚迪,002594,SZSE,2023,,,,,,,,,,,,,,BYD_002594_2023_annual_report.pdf,,元,待提取
比亚迪,002594,SZSE,2024,,,,,,,,,,,,,,BYD_002594_2024_annual_report.pdf,,元,待提取
比亚迪,002594,SZSE,2025,,,,,,,,,,,,,,BYD_002594_2025_annual_report.pdf,,元,待提取
隆基绿能,601012,SSE,2021,,,,,,,,,,,,,,LONGI_601012_2021_annual_report.pdf,,元,待提取
