metric,run,value,num,den
MRhigh,1,0.05555555555555555,1,18
MRhigh,2,0.1111111111111111,2,18
MRhigh,3,0.05555555555555555,1,18
P,1,0.7547169811320755,40,53
P,2,0.7692307692307693,40,52
P,3,0.75,39,52
R,1,0.9523809523809523,40,42
R,2,0.9523809523809523,40,42
R,3,0.9285714285714286,39,42
Rw,1,0.9479166666666666,91,96
Rw,2,0.9375,90,96
Rw,3,0.9375,90,96
D1,1,0.9134615384615384,190,208
D1,2,0.9019607843137255,184,204
D1,3,0.9052631578947369,172,190
D2,1,0.9777777777777777,44,45
D2,2,0.9361702127659575,44,47
D2,3,0.9787234042553191,46,47
D3,1,0.9134615384615384,190,208
D3,2,0.9019607843137255,184,204
D3,3,0.9052631578947369,172,190
D6,1,0.5283018867924528,28,53
D6,2,0.46153846153846156,24,52
D6,3,0.4807692307692308,25,52
D7,1,5.0,265,53
D7,2,5.0,260,52
D7,3,5.0,260,52
D8,1,1.0,,53
D8,2,1.0,,52
D8,3,1.0,,52
D7_hy3,1,,,
D7_hy3,2,,,
D7_hy3,3,,,
D8_hy3,1,,,
D8_hy3,2,,,
D8_hy3,3,,,
